,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked
219,0,2,1,30.0,0,0,10.5,B96 B98,2
220,1,3,1,16.0,0,0,8.05,B96 B98,2
221,0,2,1,27.0,0,0,13.0,B96 B98,2
222,0,3,1,51.0,0,0,8.05,B96 B98,2
223,0,3,1,29.69911764705882,0,0,7.8958,B96 B98,2
224,1,1,1,38.0,1,0,90.0,C93,2
225,0,3,1,22.0,0,0,9.35,B96 B98,2
226,1,2,1,19.0,0,0,10.5,B96 B98,2
227,0,3,1,20.5,0,0,7.25,B96 B98,2
228,0,2,1,18.0,0,0,13.0,B96 B98,2
229,0,3,0,29.69911764705882,3,1,25.4667,B96 B98,2
230,1,1,0,35.0,1,0,83.475,C83,2
231,0,3,1,29.0,0,0,7.775,B96 B98,2
232,0,2,1,59.0,0,0,13.5,B96 B98,2
233,1,3,0,5.0,4,2,31.3875,B96 B98,2
234,0,2,1,24.0,0,0,10.5,B96 B98,2
235,0,3,0,29.69911764705882,0,0,7.55,B96 B98,2
236,0,2,1,44.0,1,0,26.0,B96 B98,2
237,1,2,0,8.0,0,2,26.25,B96 B98,2
238,0,2,1,19.0,0,0,10.5,B96 B98,2
239,0,2,1,33.0,0,0,12.275,B96 B98,2
240,0,3,0,29.69911764705882,1,0,14.4542,B96 B98,0
241,1,3,0,29.69911764705882,1,0,15.5,B96 B98,1
242,0,2,1,29.0,0,0,10.5,B96 B98,2
243,0,3,1,22.0,0,0,7.125,B96 B98,2
244,0,3,1,30.0,0,0,7.225,B96 B98,0
245,0,1,1,44.0,2,0,90.0,C78,1
246,0,3,0,25.0,0,0,7.775,B96 B98,2
247,1,2,0,24.0,0,2,14.5,B96 B98,2
248,1,1,1,37.0,1,1,52.5542,D35,2
249,0,2,1,54.0,1,0,26.0,B96 B98,2
250,0,3,1,29.69911764705882,0,0,7.25,B96 B98,2
251,0,3,0,29.0,1,1,10.4625,G6,2
252,0,1,1,62.0,0,0,26.55,C87,2
253,0,3,1,30.0,1,0,16.1,B96 B98,2
254,0,3,0,41.0,0,2,20.2125,B96 B98,2
255,1,3,0,29.0,0,2,15.2458,B96 B98,0
256,1,1,0,29.69911764705882,0,0,79.2,B96 B98,0
257,1,1,0,30.0,0,0,86.5,B77,2
258,1,1,0,35.0,0,0,512.3292,B96 B98,0
259,1,2,0,50.0,0,1,26.0,B96 B98,2
260,0,3,1,29.69911764705882,0,0,7.75,B96 B98,1
261,1,3,1,3.0,4,2,31.3875,B96 B98,2
262,0,1,1,52.0,1,1,79.65,E67,2
263,0,1,1,40.0,0,0,0.0,B94,2
264,0,3,0,29.69911764705882,0,0,7.75,B96 B98,1
265,0,2,1,36.0,0,0,10.5,B96 B98,2
266,0,3,1,16.0,4,1,39.6875,B96 B98,2
267,1,3,1,25.0,1,0,7.775,B96 B98,2
268,1,1,0,58.0,0,1,153.4625,C125,2
269,1,1,0,35.0,0,0,135.6333,C99,2
270,0,1,1,29.69911764705882,0,0,31.0,B96 B98,2
271,1,3,1,25.0,0,0,0.0,B96 B98,2
272,1,2,0,41.0,0,1,19.5,B96 B98,2
273,0,1,1,37.0,0,1,29.7,C118,0
274,1,3,0,29.69911764705882,0,0,7.75,B96 B98,1
275,1,1,0,63.0,1,0,77.9583,D7,2
276,0,3,0,45.0,0,0,7.75,B96 B98,2
277,0,2,1,29.69911764705882,0,0,0.0,B96 B98,2
278,0,3,1,7.0,4,1,29.125,B96 B98,1
279,1,3,0,35.0,1,1,20.25,B96 B98,2
280,0,3,1,65.0,0,0,7.75,B96 B98,1
281,0,3,1,28.0,0,0,7.8542,B96 B98,2
282,0,3,1,16.0,0,0,9.5,B96 B98,2
283,1,3,1,19.0,0,0,8.05,B96 B98,2
284,0,1,1,29.69911764705882,0,0,26.0,A19,2
285,0,3,1,33.0,0,0,8.6625,B96 B98,0
286,1,3,1,30.0,0,0,9.5,B96 B98,2
287,0,3,1,22.0,0,0,7.8958,B96 B98,2
288,1,2,1,42.0,0,0,13.0,B96 B98,2
289,1,3,0,22.0,0,0,7.75,B96 B98,1
290,1,1,0,26.0,0,0,78.85,B96 B98,2
291,1,1,0,19.0,1,0,91.0792,B49,0
292,0,2,1,36.0,0,0,12.875,D,0
293,0,3,0,24.0,0,0,8.85,B96 B98,2
294,0,3,1,24.0,0,0,7.8958,B96 B98,2
295,0,1,1,29.69911764705882,0,0,27.7208,B96 B98,0
296,0,3,1,23.5,0,0,7.2292,B96 B98,0
297,0,1,0,2.0,1,2,151.55,C22 C26,2
298,1,1,1,29.69911764705882,0,0,30.5,C106,2
299,1,1,0,50.0,0,1,247.5208,B58 B60,0
300,1,3,0,29.69911764705882,0,0,7.75,B96 B98,1
301,1,3,1,29.69911764705882,2,0,23.25,B96 B98,1
302,0,3,1,19.0,0,0,0.0,B96 B98,2
303,1,2,0,29.69911764705882,0,0,12.35,E101,1
304,0,3,1,29.69911764705882,0,0,8.05,B96 B98,2
305,1,1,1,0.92,1,2,151.55,C22 C26,2
306,1,1,0,29.69911764705882,0,0,110.8833,B96 B98,0
307,1,1,0,17.0,1,0,108.9,C65,0
308,0,2,1,30.0,1,0,24.0,B96 B98,0
309,1,1,0,30.0,0,0,56.9292,E36,0
310,1,1,0,24.0,0,0,83.1583,C54,0
311,1,1,0,18.0,2,2,262.375,B57 B59 B63 B66,0
312,0,2,0,26.0,1,1,26.0,B96 B98,2
313,0,3,1,28.0,0,0,7.8958,B96 B98,2
314,0,2,1,43.0,1,1,26.25,B96 B98,2
315,1,3,0,26.0,0,0,7.8542,B96 B98,2
316,1,2,0,24.0,1,0,26.0,B96 B98,2
317,0,2,1,54.0,0,0,14.0,B96 B98,2
318,1,1,0,31.0,0,2,164.8667,C7,2
319,1,1,0,40.0,1,1,134.5,E34,0
320,0,3,1,22.0,0,0,7.25,B96 B98,2
321,0,3,1,27.0,0,0,7.8958,B96 B98,2
322,1,2,0,30.0,0,0,12.35,B96 B98,1
323,1,2,0,22.0,1,1,29.0,B96 B98,2
324,0,3,1,29.69911764705882,8,2,69.55,B96 B98,2
325,1,1,0,36.0,0,0,135.6333,C32,0
326,0,3,1,61.0,0,0,6.2375,B96 B98,2
327,1,2,0,36.0,0,0,13.0,D,2
328,1,3,0,31.0,1,1,20.525,B96 B98,2
329,1,1,0,16.0,0,1,57.9792,B18,0
330,1,3,0,29.69911764705882,2,0,23.25,B96 B98,1
331,0,1,1,45.5,0,0,28.5,C124,2
332,0,1,1,38.0,0,1,153.4625,C91,2
333,0,3,1,16.0,2,0,18.0,B96 B98,2
334,1,1,0,29.69911764705882,1,0,133.65,B96 B98,2
335,0,3,1,29.69911764705882,0,0,7.8958,B96 B98,2
336,0,1,1,29.0,1,0,66.6,C2,2
337,1,1,0,41.0,0,0,134.5,E40,0
338,1,3,1,45.0,0,0,8.05,B96 B98,2
339,0,1,1,45.0,0,0,35.5,T,2
340,1,2,1,2.0,1,1,26.0,F2,2
341,1,1,0,24.0,3,2,263.0,C23 C25 C27,2
342,0,2,1,28.0,0,0,13.0,B96 B98,2
343,0,2,1,25.0,0,0,13.0,B96 B98,2
344,0,2,1,36.0,0,0,13.0,B96 B98,2
345,1,2,0,24.0,0,0,13.0,F33,2
346,1,2,0,40.0,0,0,13.0,B96 B98,2
347,1,3,0,29.69911764705882,1,0,16.1,B96 B98,2
348,1,3,1,3.0,1,1,15.9,B96 B98,2
349,0,3,1,42.0,0,0,8.6625,B96 B98,2
350,0,3,1,23.0,0,0,9.225,B96 B98,2
351,0,1,1,29.69911764705882,0,0,35.0,C128,2
352,0,3,1,15.0,1,1,7.2292,B96 B98,0
353,0,3,1,25.0,1,0,17.8,B96 B98,2
354,0,3,1,29.69911764705882,0,0,7.225,B96 B98,0
355,0,3,1,28.0,0,0,9.5,B96 B98,2
356,1,1,0,22.0,0,1,55.0,E33,2
357,0,2,0,38.0,0,0,13.0,B96 B98,2
358,1,3,0,29.69911764705882,0,0,7.8792,B96 B98,1
359,1,3,0,29.69911764705882,0,0,7.8792,B96 B98,1
360,0,3,1,40.0,1,4,27.9,B96 B98,2
361,0,2,1,29.0,1,0,27.7208,B96 B98,0
362,0,3,0,45.0,0,1,14.4542,B96 B98,0
363,0,3,1,35.0,0,0,7.05,B96 B98,2
364,0,3,1,29.69911764705882,1,0,15.5,B96 B98,1
365,0,3,1,30.0,0,0,7.25,B96 B98,2
366,1,1,0,60.0,1,0,75.25,D37,0
367,1,3,0,29.69911764705882,0,0,7.2292,B96 B98,0
368,1,3,0,29.69911764705882,0,0,7.75,B96 B98,1
369,1,1,0,24.0,0,0,69.3,B35,0
370,1,1,1,25.0,1,0,55.4417,E50,0
371,0,3,1,18.0,1,0,6.4958,B96 B98,2
372,0,3,1,19.0,0,0,8.05,B96 B98,2
373,0,1,1,22.0,0,0,135.6333,B96 B98,0
374,0,3,0,3.0,3,1,21.075,B96 B98,2
375,1,1,0,29.69911764705882,1,0,82.1708,B96 B98,0
376,1,3,0,22.0,0,0,7.25,B96 B98,2
377,0,1,1,27.0,0,2,211.5,C82,0
378,0,3,1,20.0,0,0,4.0125,B96 B98,0
379,0,3,1,19.0,0,0,7.775,B96 B98,2
380,1,1,0,42.0,0,0,227.525,B96 B98,0
381,1,3,0,1.0,0,2,15.7417,B96 B98,0
382,0,3,1,32.0,0,0,7.925,B96 B98,2
383,1,1,0,35.0,1,0,52.0,B96 B98,2
384,0,3,1,29.69911764705882,0,0,7.8958,B96 B98,2
385,0,2,1,18.0,0,0,73.5,B96 B98,2
386,0,3,1,1.0,5,2,46.9,B96 B98,2
387,1,2,0,36.0,0,0,13.0,B96 B98,2
388,0,3,1,29.69911764705882,0,0,7.7292,B96 B98,1
389,1,2,0,17.0,0,0,12.0,B96 B98,0
390,1,1,1,36.0,1,2,120.0,B96 B98,2
391,1,3,1,21.0,0,0,7.7958,B96 B98,2
392,0,3,1,28.0,2,0,7.925,B96 B98,2
393,1,1,0,23.0,1,0,113.275,D36,0
394,1,3,0,24.0,0,2,16.7,G6,2
395,0,3,1,22.0,0,0,7.7958,B96 B98,2
396,0,3,0,31.0,0,0,7.8542,B96 B98,2
397,0,2,1,46.0,0,0,26.0,B96 B98,2
398,0,2,1,23.0,0,0,10.5,B96 B98,2
399,1,2,0,28.0,0,0,12.65,B96 B98,2
400,1,3,1,39.0,0,0,7.925,B96 B98,2
401,0,3,1,26.0,0,0,8.05,B96 B98,2
402,0,3,0,21.0,1,0,9.825,B96 B98,2
403,0,3,1,28.0,1,0,15.85,B96 B98,2
404,0,3,0,20.0,0,0,8.6625,B96 B98,2
405,0,2,1,34.0,1,0,21.0,B96 B98,2
406,0,3,1,51.0,0,0,7.75,B96 B98,2
407,1,2,1,3.0,1,1,18.75,B96 B98,2
408,0,3,1,21.0,0,0,7.775,B96 B98,2
409,0,3,0,29.69911764705882,3,1,25.4667,B96 B98,2
410,0,3,1,29.69911764705882,0,0,7.8958,B96 B98,2
411,0,3,1,29.69911764705882,0,0,6.8583,B96 B98,1
412,1,1,0,33.0,1,0,90.0,C78,1
413,0,2,1,29.69911764705882,0,0,0.0,B96 B98,2
414,1,3,1,44.0,0,0,7.925,B96 B98,2
415,0,3,0,29.69911764705882,0,0,8.05,B96 B98,2
416,1,2,0,34.0,1,1,32.5,B96 B98,2
417,1,2,0,18.0,0,2,13.0,B96 B98,2
418,0,2,1,30.0,0,0,13.0,B96 B98,2
419,0,3,0,10.0,0,2,24.15,B96 B98,2
420,0,3,1,29.69911764705882,0,0,7.8958,B96 B98,0
421,0,3,1,21.0,0,0,7.7333,B96 B98,1
422,0,3,1,29.0,0,0,7.875,B96 B98,2
423,0,3,0,28.0,1,1,14.4,B96 B98,2
424,0,3,1,18.0,1,1,20.2125,B96 B98,2
425,0,3,1,29.69911764705882,0,0,7.25,B96 B98,2
426,1,2,0,28.0,1,0,26.0,B96 B98,2
427,1,2,0,19.0,0,0,26.0,B96 B98,2
428,0,3,1,29.69911764705882,0,0,7.75,B96 B98,1
429,1,3,1,32.0,0,0,8.05,E10,2
430,1,1,1,28.0,0,0,26.55,C52,2
431,1,3,0,29.69911764705882,1,0,16.1,B96 B98,2
432,1,2,0,42.0,1,0,26.0,B96 B98,2
433,0,3,1,17.0,0,0,7.125,B96 B98,2
434,0,1,1,50.0,1,0,55.9,E44,2
435,1,1,0,14.0,1,2,120.0,B96 B98,2
436,0,3,0,21.0,2,2,34.375,B96 B98,2
437,1,2,0,24.0,2,3,18.75,B96 B98,2
438,0,1,1,64.0,1,4,263.0,C23 C25 C27,2
439,0,2,1,31.0,0,0,10.5,B96 B98,2
440,1,2,0,45.0,1,1,26.25,B96 B98,2
441,0,3,1,20.0,0,0,9.5,B96 B98,2
442,0,3,1,25.0,1,0,7.775,B96 B98,2
443,1,2,0,28.0,0,0,13.0,B96 B98,2
444,1,3,1,29.69911764705882,0,0,8.1125,B96 B98,2
445,1,1,1,4.0,0,2,81.8583,A34,2
446,1,2,0,13.0,0,1,19.5,B96 B98,2
447,1,1,1,34.0,0,0,26.55,B96 B98,2
448,1,3,0,5.0,2,1,19.2583,B96 B98,0
449,1,1,1,52.0,0,0,30.5,C104,2
450,0,2,1,36.0,1,2,27.75,B96 B98,2
451,0,3,1,29.69911764705882,1,0,19.9667,B96 B98,2
452,0,1,1,30.0,0,0,27.75,C111,0
453,1,1,1,49.0,1,0,89.1042,C92,0
454,0,3,1,29.69911764705882,0,0,8.05,B96 B98,2
455,1,3,1,29.0,0,0,7.8958,B96 B98,0
456,0,1,1,65.0,0,0,26.55,E38,2
457,1,1,0,29.69911764705882,1,0,51.8625,D21,2
458,1,2,0,50.0,0,0,10.5,B96 B98,2
459,0,3,1,29.69911764705882,0,0,7.75,B96 B98,1
460,1,1,1,48.0,0,0,26.55,E12,2
461,0,3,1,34.0,0,0,8.05,B96 B98,2
462,0,1,1,47.0,0,0,38.5,E63,2
463,0,2,1,48.0,0,0,13.0,B96 B98,2
464,0,3,1,29.69911764705882,0,0,8.05,B96 B98,2
465,0,3,1,38.0,0,0,7.05,B96 B98,2
466,0,2,1,29.69911764705882,0,0,0.0,B96 B98,2
467,0,1,1,56.0,0,0,26.55,B96 B98,2
468,0,3,1,29.69911764705882,0,0,7.725,B96 B98,1
469,1,3,0,0.75,2,1,19.2583,B96 B98,0
470,0,3,1,29.69911764705882,0,0,7.25,B96 B98,2
471,0,3,1,38.0,0,0,8.6625,B96 B98,2
472,1,2,0,33.0,1,2,27.75,B96 B98,2
473,1,2,0,23.0,0,0,13.7917,D,0
474,0,3,0,22.0,0,0,9.8375,B96 B98,2
475,0,1,1,29.69911764705882,0,0,52.0,A14,2
476,0,2,1,34.0,1,0,21.0,B96 B98,2
477,0,3,1,29.0,1,0,7.0458,B96 B98,2
478,0,3,1,22.0,0,0,7.5208,B96 B98,2
479,1,3,0,2.0,0,1,12.2875,B96 B98,2
480,0,3,1,9.0,5,2,46.9,B96 B98,2
481,0,2,1,29.69911764705882,0,0,0.0,B96 B98,2
482,0,3,1,50.0,0,0,8.05,B96 B98,2
483,1,3,0,63.0,0,0,9.5875,B96 B98,2
484,1,1,1,25.0,1,0,91.0792,B49,0
485,0,3,0,29.69911764705882,3,1,25.4667,B96 B98,2
486,1,1,0,35.0,1,0,90.0,C93,2
